Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,95,0,DMSO,1.67,55
1,0,A2,95,0,DMSO,1.67,55
2,0,A3,95,0,DMSO,1.67,55
3,0,A4,95,0,DMSO,1.67,55
4,0,A5,95,0,DMSO,1.67,55
5,0,A6,95,0,DMSO,1.67,55
6,0,A7,95,0,DMSO,1.67,55
7,0,A8,95,0,DMSO,1.67,55
8,0,A9,95,0,DMSO,1.67,55
9,0,A10,95,0,DMSO,1.67,55
10,0,A11,95,0,DMSO,1.67,55
11,0,A12,95,0,DMSO,1.67,55
0,1,B1,95,0,DMSO,1.67,55
1,1,B2,95,0,DMSO,1.67,55
2,1,B3,95,0,DMSO,1.67,55
3,1,B4,95,0,DMSO,1.67,55
4,1,B5,95,0,DMSO,1.67,55
5,1,B6,95,0,DMSO,1.67,55
6,1,B7,95,0,DMSO,1.67,55
7,1,B8,95,0,DMSO,1.67,55
8,1,B9,95,0,DMSO,1.67,55
9,1,B10,95,0,DMSO,1.67,55
10,1,B11,95,0,DMSO,1.67,55
11,1,B12,95,0,DMSO,1.67,55
0,2,C1,95,0,DMSO,1.67,55
1,2,C2,95,0,DMSO,1.67,55
2,2,C3,95,0,DMSO,1.67,55
3,2,C4,95,0,DMSO,1.67,55
4,2,C5,95,0,DMSO,1.67,55
5,2,C6,95,0,DMSO,1.67,55
6,2,C7,95,0,DMSO,1.67,55
7,2,C8,95,0,DMSO,1.67,55
8,2,C9,95,0,DMSO,1.67,55
9,2,C10,95,0,DMSO,1.67,55
10,2,C11,95,0,DMSO,1.67,55
11,2,C12,95,0,DMSO,1.67,55
0,3,D1,95,0,DMSO,1.67,55
1,3,D2,95,0,DMSO,1.67,55
2,3,D3,95,0,DMSO,1.67,55
3,3,D4,95,0,DMSO,1.67,55
4,3,D5,95,0,DMSO,1.67,55
5,3,D6,95,0,DMSO,1.67,55
6,3,D7,95,0,DMSO,1.67,55
7,3,D8,95,0,DMSO,1.67,55
8,3,D9,95,0,DMSO,1.67,55
9,3,D10,95,0,DMSO,1.67,55
10,3,D11,95,0,DMSO,1.67,55
11,3,D12,95,0,DMSO,1.67,55
0,4,E1,95,0,DMSO,1.67,55
1,4,E2,95,0,DMSO,1.67,55
2,4,E3,95,0,DMSO,1.67,55
3,4,E4,95,0,DMSO,1.67,55
4,4,E5,95,0,DMSO,1.67,55
5,4,E6,95,0,DMSO,1.67,55
6,4,E7,95,0,DMSO,1.67,55
7,4,E8,95,0,DMSO,1.67,55
8,4,E9,95,0,DMSO,1.67,55
9,4,E10,95,0,DMSO,1.67,55
10,4,E11,95,0,DMSO,1.67,55
11,4,E12,95,0,DMSO,1.67,55
0,5,F1,95,0,DMSO,1.67,55
1,5,F2,95,0,DMSO,1.67,55
2,5,F3,95,0,DMSO,1.67,55
3,5,F4,95,0,DMSO,1.67,55
4,5,F5,95,0,DMSO,1.67,55
5,5,F6,95,0,DMSO,1.67,55
6,5,F7,95,0,DMSO,1.67,55
7,5,F8,95,0,DMSO,1.67,55
8,5,F9,95,0,DMSO,1.67,55
9,5,F10,95,0,DMSO,1.67,55
10,5,F11,95,0,DMSO,1.67,55
11,5,F12,95,0,DMSO,1.67,55
0,6,G1,95,0,DMSO,1.67,55
1,6,G2,95,0,DMSO,1.67,55
2,6,G3,95,0,DMSO,1.67,55
3,6,G4,95,0,DMSO,1.67,55
4,6,G5,95,0,DMSO,1.67,55
5,6,G6,95,0,DMSO,1.67,55
6,6,G7,95,0,DMSO,1.67,55
7,6,G8,95,0,DMSO,1.67,55
8,6,G9,95,0,DMSO,1.67,55
9,6,G10,95,0,DMSO,1.67,55
10,6,G11,95,0,DMSO,1.67,55
11,6,G12,95,0,DMSO,1.67,55
0,7,H1,95,0,DMSO,1.67,55
1,7,H2,95,0,DMSO,1.67,55
2,7,H3,95,0,DMSO,1.67,55
3,7,H4,95,0,DMSO,1.67,55
4,7,H5,95,0,DMSO,1.67,55
5,7,H6,95,0,DMSO,1.67,55
6,7,H7,95,0,DMSO,1.67,55
7,7,H8,95,0,DMSO,1.67,55
8,7,H9,95,0,DMSO,1.67,55
9,7,H10,95,0,DMSO,1.67,55
10,7,H11,95,0,DMSO,1.67,55
11,7,H12,95,0,DMSO,1.67,55
